Zeit t / s;Stromstärke I_A1 / A;Spannung U_B1 / V;Leistungsfaktor cos&j_1;Stromstärke I_A2 / A;Spannung U_B2 / V;Eisenwiderstand R_Fe / &W;Magnetisierung L_M / H;Eisenverlustleistung P_Fe / W;Phasenwinkel &j_1 / °
0;0,00904765162901402;58,3688915433555;-0,637595359777743;0;1,94853791341098;-11,2760049299853;0,029707298931768;-0,336715;129,612744340264
0;0,00904240012386092;58,3038592204667;-0,638302625810138;0;1,94702336914584;-11,2650902256198;0,0297340796050406;-0,3365175;129,665366711407
0;0,00902842732705979;58,2085260077937;-0,638339536090118;0;1,94360489812101;-11,260703346822;0,0297254011184456;-0,3354675;129,668114028981
0;0,00903147274811811;58,2260465771119;-0,638350628717;0;1,94409361914492;-11,258983429529;0,0297217326324999;-0,3356875;129,668939700224
0;0,00902635031449589;58,1541700998303;-0,638473589233244;0;1,94192559074749;-11,2519860658367;0,029712919160153;-0,3351475;129,678092833753
0;0,00901928489404786;58,0718735706021;-0,638318461253779;0;1,93884630644102;-11,2437561690545;0,0296790111302826;-0,33433;129,666545366751
0;0,00900860699553488;57,9803846141089;-0,638063650324003;0;1,93578149593388;-11,2437176505889;0,0296589234896789;-0,333275;129,647581854943
0;0,00898192629673613;57,7914353516159;-0,638776323100486;0;1,92977978018218;-11,2313956118525;0,0296822983664804;-0,331575;129,700633398277
0;0,00897524372928112;57,7377476180012;-0,638977965929456;0;1,92769940602782;-11,2224235560589;0,0296744079133312;-0,331125;129,71565114345
0;0,00895363054855403;57,5409636693721;-0,639716927181537;0;1,92140573539271;-11,2014442514393;0,0296768930191151;-0,3295825;129,770714710307
0;0,00893518326616752;57,3983667015012;-0,639934578446399;0;1,91600495823993;-11,1854814137721;0,0296516745167655;-0,3282;129,786941352223
0;0,00892468486838611;57,2838109765752;-0,640237510665309;0;1,91211924314359;-11,1702793944671;0,0296351259676758;-0,327315;129,809532351788
0;0,00891249123421729;57,1378158490504;-0,640149671871001;0;1,90769494416691;-11,1638393815761;0,0296111551924097;-0,32599;129,802981059192
0;0,00888974127857499;56,9249945103203;-0,640378376740891;0;1,90006578833471;-11,1405978784957;0,0295674027501337;-0,3240625;129,8200398889
0;0,00887397881448902;56,80743789329;-0,640438159606167;0;1,89651654356085;-11,1407000154871;0,0295723534341949;-0,32285;129,82449972127
0;0,00884929375713113;56,615258543965;-0,64103644751948;0;1,89037033408801;-11,1267660452263;0,0295821901797646;-0,3211625;129,869148265876
0;0,00882411468647139;56,3235519121442;-0,641119689384482;0;1,8809106836849;-11,1028904092393;0,0295252211817941;-0,31864;129,875362674635
0;0,0088225563188908;56,2789481067299;-0,640885191288175;0;1,88003324438692;-11,1073488050532;0,0295187408188297;-0,318215;129,857857695503
0;0,00881078884096084;56,2167457258066;-0,641068250738457;0;1,87823055027864;-11,1099738607376;0,0295400334251367;-0,31753;129,871522463887
0;0,00879687444493782;56,0956326285746;-0,641462325432241;0;1,87378627383168;-11,0920420799899;0,0295231532192514;-0,31654;129,900948048552
0;0,00878464569575803;56,0174526375486;-0,641829279515667;0;1,86994652329953;-11,0711119554205;0,0294961046378805;-0,31584;129,928359901406
0;0,00876627058674326;55,8480527861089;-0,642393584040401;0;1,86432293339968;-11,0514224847179;0,0294877096502022;-0,3145025;129,970535472307
0;0,00875656896278445;55,7607164588117;-0,642643118399832;0;1,86049724536211;-11,0312793791928;0,0294534380714501;-0,313785;129,989193726304
0;0,00874799977137631;55,661229774413;-0,642805091941621;0;1,85833931239696;-11,033394835422;0,0294717384552771;-0,3129975;130,001307586045
0;0,00873541641823674;55,5337509988295;-0,642766005705436;0;1,8543260231146;-11,0275405892964;0,0294530488332823;-0,3118125;129,998384163865
0;0,00872238499494261;55,3917863947355;-0,642690619304705;0;1,85095921078775;-11,033444439077;0,029462928491409;-0,310515;129,992746054836
0;0,00870976463516667;55,3081142329044;-0,642602710212521;0;1,8479312757784;-11,0314806738706;0,0294508207456194;-0,309555;129,98617196809
0;0,00868864201126966;55,1454440547902;-0,643012749722651;0;1,84162292557407;-11,0083010784099;0,0294209031005765;-0,3080925;130,016841274877
0;0,00867726915567335;55,0633725810543;-0,643355358117069;0;1,83800843306009;-10,9900128499162;0,029398722848608;-0,307395;130,042477578713
0;0,0086676121279162;54,9798826844874;-0,643712455109078;0;1,83487738009928;-10,9753632755515;0,029387355653152;-0,3067575;130,069208282249
0;0,0086527452291166;54,8360283025677;-0,644107432089954;0;1,82937147676463;-10,9502891686504;0,0293509578368652;-0,3056175;130,098786738172
0;0,00863611602515853;54,6817382679081;-0,644638096957551;0;1,82488355792911;-10,9394016539513;0,0293630973948222;-0,3044225;130,138546644417
0;0,00862148479091624;54,5204319498663;-0,644727977717418;0;1,8209750135573;-10,9418335106953;0,0293766325381822;-0,3030525;130,145283237134
0;0,00859680173087643;54,2854722738966;-0,644883153498822;0;1,81413891419593;-10,935521921882;0,0293717835630223;-0,300955;130,156915285953
