U_B1 / V	U_A1 / V
8,68	-6,98
8,69	-7,03
8,68	-7,03
8,68	-6,98
8,69	-6,90
8,69	-6,79
8,69	-6,66
8,68	-6,52
8,69	-6,38
8,69	-6,22
8,69	-6,07
8,68	-5,91
8,68	-5,75
8,68	-5,60
8,68	-5,44
