Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
131,901;7,08003531064641;0,00418330013267038;-74,8861737276627;1,16263837886077;1,28281311967098;-0,755136402225262;50;36,49635036;2007,29927;2168,86149526801;-40,9627102774368;0,11262465;9,06319370321816;0,110336381715523
134,001;7,07955153946915;0,00415331193145904;-74,6976037986575;1,15931369784024;1,28830004269192;-0,755236595493063;50;36,49635036;2007,29927;2186,79580837555;-40,9539527429019;0,1127979;8,99878645829923;0,111126095127831
136,1;7,0684687167731;0,00415331193145904;-74,5465069958201;1,15555992921181;1,30664981919411;-0,733030053075359;50;36,49635036;2007,29927;2205,57533962014;-42,8589807739941;0,1106811;8,84368491264563;0,113075037145443
138,101;7,07592220138125;0,00415331193145904;-73,9605924406008;1,15105429932736;1,33889936141594;-0,690037862889809;50;36,49635036;2007,29927;2225,23992290537;-46,3668938817939;0,1063449;8,59701880886759;0,11631939189996
140,2;7,07251546481165;0,00418330013267038;-74,0405541300773;1,14631311167586;1,36542438457792;-0,65779130528367;50;36,49635036;2007,29927;2245,83126944886;-48,8683580733011;0,10295775;8,39528812157701;0,119114434849456
142,202;7,08010946243065;0,00424264068711928;-74,1679874431238;1,14081681263908;1,37407286924675;-0,655863053401111;50;36,49635036;2007,29927;2267,39305625735;-49,0148763280145;0,102810825;8,30244769525553;0,120446407698714
144,3;7,07292018900256;0,00206155281280883;-73,8021470090197;1,132348003045;1,4185091645809;-0,602554644843227;50;36,49635036;2007,29927;2289,97101877151;-52,9469194593496;0,0967851;7,98266258208881;0,125271485512085
146,401;7,07553001548294;0,002;-73,0206158781841;1,12535194494878;1,41257636961688;-0,623326684800486;50;36,49635036;2007,29927;2313,61304787691;-51,4405243134597;0,09908685;7,96666268213165;0,125523075332773
148,5;7,07980755388167;0,00206155281280883;-73,0298865641052;1,11654422214259;1,46838431617884;-0,554854595270848;50;36,49635036;2007,29927;2338,36929148702;-56,2992997501967;0,0909693;7,6038964039616;0,13151152341831
150,6;7,07020862492756;0,00206155281280883;-73,1396881721666;1,10769388822003;1,46549155575868;-0,575520556217668;50;36,49635036;2007,29927;2364,29226091367;-54,8639047801576;0,093425175;7,55851430100241;0,132301132230097
