Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
2,1;7,07399639524929;0,00353553390593274;52,6888256335637;0,0153704261489394;2,12039153224116;-0,206074798459915;50;36,49635036;2007,29927;36,49635036;78,1075760389013;0,000671625;0,0724886225738393;13,7952683399573
4,199;7,0736200067575;0,0016583123951777;50,966047276184;0,0593401213345574;2,22195825793375;-0,0695897720002966;50;36,49635036;2007,29927;135,052731331556;86,0095745737791;0,00091755;0,26706226871129;3,7444450870035
6,3;7,07695379382966;0,00111803398874989;37,4074728608991;0,102187327981507;2,23746960873215;-0,0590445177967725;50;36,49635036;2007,29927;229,173344464496;86,6150295688808;0,00135;0,456709345158035;2,18957639164132
8,4;7,07451058377892;0,001;36,2869765857725;0,143976560592341;2,24076253761973;-0,0580602806213756;50;36,49635036;2007,29927;319,057832198245;86,6715191244459;0,001873125;0,64253377220989;1,55633842647782
10,5;7,07463426616528;0,000866025403784439;28,6826738255703;0,184883747257567;2,23792409388701;-0,0619938385917404;50;36,49635036;2007,29927;404,89685158231;86,4457355627034;0,00256503098201035;0,826139491337465;1,21044933753387
12,601;7,07230514047577;0,000707106781186548;0;0,226092348388883;2,23433245064382;-0,0606232052016915;50;36,49635036;2007,29927;486,872478685443;86,5244150843941;0,003062475;1,01190110864538;0,988238861936506
14,7;7,07547171572327;0,000707106781186548;0;0,267820368904234;2,2293815285859;-0,067288166246837;50;36,49635036;2007,29927;565,158594803393;86,1417568262851;0,0040176;1,2013213775666;0,832416719350824
16,8;7,06870744903197;0,000866025403784439;-27,5505638888928;0,308675800800775;2,22329552691494;-0,07598055878897;50;36,49635036;2007,29927;639,921255284448;85,6424350412172;0,005214375;1,38837053852708;0,720268813151925
18,9;7,07506007041636;0,001;-48,4250961202812;0,350493223900263;2,21776052584584;-0,0796535450325666;50;36,49635036;2007,29927;711,319041755094;85,4313482221364;0,00619155;1,58039256184609;0,632754180285358
21;7,07929728151036;0,000707106781186548;0;0,393214636044998;2,20732173685668;-0,0870083465922474;50;36,49635036;2007,29927;779,503398492901;85,0084773819905;0,0075519;1,78141060942458;0,561352893437081
23,101;7,0792513728501;0,00158113883008419;-62,7794217448348;0,436314393528336;2,19444360829801;-0,0989829308872259;50;36,49635036;2007,29927;844,618953660148;84,3193938649141;0,00947729227587125;1,98826887999522;0,502950083895294
25,199;7,06861018871461;0,000866025403784439;-40,1731764688471;0,480110143612901;2,17729792403336;-0,107125683067302;50;36,49635036;2007,29927;906,80382607954;83,8503498702524;0,0111983063524416;2,20507326219975;0,453499671481396
